activity_comment,assay_description,canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value,pActivity,is_inhibitor,molecular_weight,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,qed_weighted,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,aromatic_rings,heavy_atoms,num_alerts
,Inhibition of human PDGF receptor phosphorylation; 0.1-0.8,COc1cc2cc(-c3cccnc3)cnc2cc1OC,CHEMBL304668,6.1,IC50,nM,800.0,IC50,uM,0.8,6.1,1,266.3,3.31,4,0,44.24,3,N,0,0.73,,4.9,2.25,2.24,3,20,
,Inhibition of human PDGF receptor phosphorylation; 0.1-0.4,COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1C,CHEMBL66925,6.4,IC50,nM,400.0,IC50,uM,0.4,6.4,1,309.37,4.24,4,0,40.58,4,N,0,0.72,,4.67,3.82,3.82,3,23,
,Inhibition of human PDGF receptor phosphorylation; 0.7-5,COc1cc2cc(-c3ccc(C(=O)O)cc3)cnc2cc1OC,CHEMBL66868,5.3,IC50,nM,5000.0,IC50,uM,5.0,5.3,0,309.32,3.62,4,1,68.65,4,N,0,0.8,3.91,4.75,2.22,0.01,3,23,
,Inhibition of human PDGF receptor phosphorylation; 0.001-0.015,COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1,CHEMBL70130,7.82,IC50,nM,15.0,IC50,uM,0.015,7.82,1,295.34,3.93,4,0,40.58,4,N,0,0.73,,4.67,3.31,3.3,3,22,
,Inhibition of human PDGF receptor phosphorylation; 20-30,COc1cc2cccnc2cc1OC,CHEMBL66705,4.52,IC50,nM,30000.0,IC50,uM,30.0,4.52,0,189.21,2.25,3,0,31.35,2,Y,0,0.73,,5.11,1.82,1.81,2,14,
,Inhibition of human PDGF receptor phosphorylation; 0.004-0.025,Fc1ccc2cc(-c3ccsc3)cnc2c1,CHEMBL307093,7.6,IC50,nM,25.0,IC50,uM,0.025,7.6,1,229.28,4.1,2,0,12.89,1,N,0,0.61,,3.43,3.7,3.7,3,16,
,Inhibition of human PDGF receptor phosphorylation; 0.04-0.08,COc1cc2cc(-c3cccs3)cnc2cc1OC,CHEMBL304336,7.1,IC50,nM,80.0,IC50,uM,0.08,7.1,1,271.34,3.98,4,0,31.35,3,N,0,0.72,,4.38,3.24,3.24,3,19,
,Inhibition of human PDGF receptor phosphorylation; 0.002-0.06,COc1ccc2cc(-c3ccsc3)cnc2c1,CHEMBL68185,7.22,IC50,nM,60.0,IC50,uM,0.06,7.22,1,241.32,3.97,3,0,22.12,2,N,0,0.68,,4.34,3.4,3.4,3,17,
,Inhibition of isolated human PDGF receptor phosphorylation,Fc1cccc2ncc(-c3ccsc3)cc12,CHEMBL305056,7.7,IC50,nM,20.0,IC50,uM,0.02,7.7,1,229.28,4.1,2,0,12.89,1,N,0,0.61,,3.6,3.7,3.7,3,16,
,Inhibition of human PDGF receptor phosphorylation; 2-10,COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1OC,CHEMBL66100,5.0,IC50,nM,10000.0,IC50,uM,10.0,5.0,0,325.36,3.94,5,0,49.81,5,N,0,0.71,,4.65,3.15,3.15,3,24,
