canonical_smiles,molecule_chembl_id,standard_value,standard_type,standard_units,is_inhibitor,data_source,activity_comment
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL68920,41.0,IC50,NM,0,non_mdm2_active_CHEMBL203,"Active against CHEMBL203, not MDM2"
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69960,170.0,IC50,NM,0,non_mdm2_active_CHEMBL203,"Active against CHEMBL203, not MDM2"
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,CHEMBL76589,125.0,IC50,NM,0,non_mdm2_active_CHEMBL203,"Active against CHEMBL203, not MDM2"
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL304271,0.45,IC50,NM,0,non_mdm2_active_CHEMBL203,"Active against CHEMBL203, not MDM2"
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL136491,14.0,IC50,NM,0,non_mdm2_active_CHEMBL203,"Active against CHEMBL203, not MDM2"
C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,CHEMBL133024,100.0,IC50,NM,0,non_mdm2_active_CHEMBL203,"Active against CHEMBL203, not MDM2"
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,CHEMBL138125,238.0,IC50,NM,0,non_mdm2_active_CHEMBL203,"Active against CHEMBL203, not MDM2"
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,CHEMBL137364,64.0,IC50,NM,0,non_mdm2_active_CHEMBL203,"Active against CHEMBL203, not MDM2"
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,CHEMBL302552,22.0,IC50,NM,0,non_mdm2_active_CHEMBL203,"Active against CHEMBL203, not MDM2"
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,CHEMBL67057,4.5,IC50,NM,0,non_mdm2_active_CHEMBL203,"Active against CHEMBL203, not MDM2"
Nc1ccc2ncnc(NCc3ccccc3)c2c1,CHEMBL332096,508.0,IC50,NM,0,non_mdm2_active_CHEMBL203,"Active against CHEMBL203, not MDM2"
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,CHEMBL432903,200.0,IC50,NM,0,non_mdm2_active_CHEMBL203,"Active against CHEMBL203, not MDM2"
Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,CHEMBL69964,210.0,IC50,NM,0,non_mdm2_active_CHEMBL203,"Active against CHEMBL203, not MDM2"
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,CHEMBL69629,6.5,IC50,NM,0,non_mdm2_active_CHEMBL203,"Active against CHEMBL203, not MDM2"
CC(=N)N1CCC(Oc2ccc3c(c2)nc(C(C)C)n3Cc2ccc3ccc(C(=N)N)cc3c2)CC1,CHEMBL176744,870.0,KI,NM,0,non_mdm2_active_CHEMBL204,"Active against CHEMBL204, not MDM2"
CCN(C(=O)C1=CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)C1CCCCC1,CHEMBL50117,890.0,IC50,NM,0,non_mdm2_active_CHEMBL204,"Active against CHEMBL204, not MDM2"
CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](CO)c1ccccc1,CHEMBL108952,19.0,IC50,NM,0,non_mdm2_active_CHEMBL204,"Active against CHEMBL204, not MDM2"
COc1cc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)cc(OC)c1,CHEMBL3142655,50.0,IC50,NM,0,non_mdm2_active_CHEMBL204,"Active against CHEMBL204, not MDM2"
Cc1ccc(C)c(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,CHEMBL3142745,38.0,IC50,NM,0,non_mdm2_active_CHEMBL204,"Active against CHEMBL204, not MDM2"
CC(=N)N1CCC(N(CC(N)=O)c2ccc3nc(C)n(Cc4ccc5ccc(C(=N)N)cc5c4)c3c2)CC1,CHEMBL369480,490.0,KI,NM,0,non_mdm2_active_CHEMBL204,"Active against CHEMBL204, not MDM2"
CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](C)Cc1ccccc1,CHEMBL431443,43.0,IC50,NM,0,non_mdm2_active_CHEMBL204,"Active against CHEMBL204, not MDM2"
NC(C(=O)N1CCC[C@H]1C(=O)NCc1cccc(O)c1)C(c1ccccc1)c1ccccc1,CHEMBL3142679,160.0,IC50,NM,0,non_mdm2_active_CHEMBL204,"Active against CHEMBL204, not MDM2"
Nc1cc[n+](Cc2ccc(OC(CCc3ccccc3)c3ccccc3)cc2)cc1,CHEMBL47481,160.0,KI,NM,0,non_mdm2_active_CHEMBL204,"Active against CHEMBL204, not MDM2"
N[C@@H](C(=O)N1CCC[C@H]1C(=O)NC[C@H]1CC[C@H](N)CC1)C(c1ccccc1)c1ccccc1,CHEMBL3349684,0.1,IC50,NM,0,non_mdm2_active_CHEMBL204,"Active against CHEMBL204, not MDM2"
