canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value,is_inhibitor,data_source,compound_name,activity_type
COc1cc2cc(-c3cccnc3)cnc2cc1OC,CHEMBL304668,6.10,IC50,nM,800.0,IC50,uM,0.8,1,chembl_active,,
COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1C,CHEMBL66925,6.40,IC50,nM,400.0,IC50,uM,0.4,1,chembl_active,,
COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1,CHEMBL70130,7.82,IC50,nM,15.0,IC50,uM,0.015,1,chembl_active,,
Fc1ccc2cc(-c3ccsc3)cnc2c1,CHEMBL307093,7.60,IC50,nM,25.0,IC50,uM,0.025,1,chembl_active,,
COc1cc2cc(-c3cccs3)cnc2cc1OC,CHEMBL304336,7.10,IC50,nM,80.0,IC50,uM,0.08,1,chembl_active,,
COc1ccc2cc(-c3ccsc3)cnc2c1,CHEMBL68185,7.22,IC50,nM,60.0,IC50,uM,0.06,1,chembl_active,,
Fc1cccc2ncc(-c3ccsc3)cc12,CHEMBL305056,7.70,IC50,nM,20.0,IC50,uM,0.02,1,chembl_active,,
COc1cc2cc(-c3ccc(O)cc3)cnc2cc1OC,CHEMBL303704,7.52,IC50,nM,30.0,IC50,uM,0.03,1,chembl_active,,
COc1ccc(CCc2cnc3cc(OC)c(OC)cc3c2)cc1,CHEMBL66787,6.10,IC50,nM,800.0,IC50,uM,0.8,1,chembl_active,,
c1cc(-c2cnc3cc4c(cc3c2)OCO4)cs1,CHEMBL69378,6.22,IC50,nM,600.0,IC50,uM,0.6,1,chembl_active,,
COc1cc2cc(-c3sccc3Cl)cnc2cc1OC,CHEMBL306234,6.00,IC50,nM,1000.0,IC50,uM,1.0,1,chembl_active,,
COc1cc2cc(-c3ccc(OC)c([N+](=O)[O-])c3)cnc2cc1OC,CHEMBL67170,6.30,IC50,nM,500.0,IC50,uM,0.5,1,chembl_active,,
COc1cc2cc(C#Cc3ccccc3)cnc2cc1OC,CHEMBL67059,7.30,IC50,nM,50.0,IC50,uM,0.05,1,chembl_active,,
COc1cc2cc(C3CCCC3)cnc2cc1OC,CHEMBL66785,6.30,IC50,nM,500.0,IC50,uM,0.5,1,chembl_active,,
COc1ccc2ncc(-c3ccsc3)cc2c1,CHEMBL303184,7.16,IC50,nM,70.0,IC50,uM,0.07,1,chembl_active,,
COc1cc2cc(CCC3CCCCC3)cnc2cc1OC,CHEMBL66786,6.30,IC50,nM,500.0,IC50,uM,0.5,1,chembl_active,,
COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)s1,CHEMBL302745,6.60,IC50,nM,250.0,IC50,uM,0.25,1,chembl_active,,
COc1cc2cc(/C=C/c3ccccc3)cnc2cc1OC,CHEMBL70149,8.30,IC50,nM,5.0,IC50,uM,0.005,1,chembl_active,,
COc1cc2cc(NCc3ccccc3)cnc2cc1OC,CHEMBL65850,7.10,IC50,nM,80.0,IC50,uM,0.08,1,chembl_active,,
COc1cc(OC)c2cc(-c3ccsc3)cnc2c1,CHEMBL66071,7.52,IC50,nM,30.0,IC50,uM,0.03,1,chembl_active,,
COc1cc2cc(C3=CCCC3)cnc2cc1OC,CHEMBL66618,7.40,IC50,nM,40.0,IC50,uM,0.04,1,chembl_active,,
COc1cc2cc(-c3cccc(F)c3)cnc2cc1OC,CHEMBL302491,7.60,IC50,nM,25.0,IC50,uM,0.025,1,chembl_active,,
CCOC(=O)c1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1,CHEMBL67169,6.70,IC50,nM,200.0,IC50,uM,0.2,1,chembl_active,,
Cc1cc(C)c2cc(-c3ccsc3)cnc2c1,CHEMBL304333,8.30,IC50,nM,5.0,IC50,uM,0.005,1,chembl_active,,
COc1cc2cc(-c3cc(F)c(OC)c(F)c3)cnc2cc1OC,CHEMBL66924,6.40,IC50,nM,400.0,IC50,uM,0.4,1,chembl_active,,
COc1cc2cc(OCc3ccccc3)cnc2cc1OC,CHEMBL66932,7.16,IC50,nM,70.0,IC50,uM,0.07,1,chembl_active,,
COc1cc2cc(-c3ccccc3)cnc2cc1OC,CHEMBL66063,6.82,IC50,nM,150.0,IC50,uM,0.15,1,chembl_active,,
COc1cc2cc(-c3ccc(Cl)s3)cnc2cc1OC,CHEMBL69820,7.52,IC50,nM,30.0,IC50,uM,0.03,1,chembl_active,,
COc1cc2cc(-c3ccsc3)cnc2cc1OC,CHEMBL66643,7.70,IC50,nM,20.0,IC50,uM,0.02,1,chembl_active,,
COc1cc2cc(-c3ccc(O)nc3)cnc2cc1OC,CHEMBL66981,7.52,IC50,nM,30.0,IC50,uM,0.03,1,chembl_active,,
COc1cc2cc(-c3ccc(F)c(F)c3)cnc2cc1OC,CHEMBL67424,6.70,IC50,nM,200.0,IC50,uM,0.2,1,chembl_active,,
COc1cc2cc(-c3ccc(F)cc3)cnc2cc1OC,CHEMBL68401,7.22,IC50,nM,60.0,IC50,uM,0.06,1,chembl_active,,
COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cn1,CHEMBL66612,7.16,IC50,nM,70.0,IC50,uM,0.07,1,chembl_active,,
COc1ccc(/C=C/c2cnc3cc(OC)c(OC)cc3c2)cc1,CHEMBL66101,7.00,IC50,nM,100.0,IC50,uM,0.1,1,chembl_active,,
c1ccc2ncc(-c3ccsc3)cc2c1,CHEMBL304310,6.60,IC50,nM,250.0,IC50,uM,0.25,1,chembl_active,,
C(=C/c1cnc2ccccc2c1)\c1ccccc1,CHEMBL65858,6.70,IC50,nM,200.0,IC50,uM,0.2,1,chembl_active,,
COc1ccc(-c2cnc3cc(OC)c(OC)cc3c2)cc1F,CHEMBL67436,8.30,IC50,nM,5.0,IC50,uM,0.005,1,chembl_active,,
COc1cc2cc(-c3c[nH]c4ccccc34)cnc2cc1OC,CHEMBL302545,6.22,IC50,nM,600.0,IC50,uM,0.6,1,chembl_active,,
COc1cc2cc(C#CC3CCCCC3)cnc2cc1OC,CHEMBL63575,6.00,IC50,nM,1000.0,IC50,uM,1.0,1,chembl_active,,
COc1cc2cc(-c3ccc([N+](=O)[O-])cc3)cnc2cc1OC,CHEMBL69585,6.82,IC50,nM,150.0,IC50,uM,0.15,1,chembl_active,,
COc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)cc1OC,CHEMBL327300,6.82,IC50,nM,150.0,IC50,uM,0.15,1,chembl_active,,
COc1ccc2cc(-c3ccncc3)cnc2c1,CHEMBL329622,6.22,IC50,nM,600.0,IC50,uM,0.6,1,chembl_active,,
COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3)ccnc2cc1OCCNCCO,CHEMBL352308,6.32,IC50,nM,480.0,IC50,nM,480.0,1,chembl_active,,
COc1ccc2ncc(-c3ccncc3)cc2c1,CHEMBL90780,6.40,IC50,nM,400.0,IC50,uM,0.4,1,chembl_active,,
Clc1ccc2cc(-c3ccncc3)cnc2c1,CHEMBL86664,6.52,IC50,nM,300.0,IC50,uM,0.3,1,chembl_active,,
COc1cc(OC)c2cc(-c3ccncc3)cnc2c1,CHEMBL68423,7.10,IC50,nM,80.0,IC50,uM,0.08,1,chembl_active,,
COc1cc(OC)c2cc(-c3ccncc3)cnc2c1,CHEMBL68423,7.85,Ki,nM,14.0,Ki,nM,14.0,1,chembl_active,,
COc1cc2ncc(-c3ccncc3)cc2c(OC)c1OC,CHEMBL86717,6.40,IC50,nM,400.0,IC50,uM,0.4,1,chembl_active,,
CCCCN(CCCC)C(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(C)C,CHEMBL327958,7.11,IC50,nM,77.0,IC50,uM,0.077,1,chembl_active,,
COc1cc2cc(-c3ccncc3)cnc2cc1OC,CHEMBL280069,6.52,IC50,nM,300.0,IC50,uM,0.3,1,chembl_active,,
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CHEMBL388978,8.70,IC50,nM,2.0,IC50,uM,0.002,1,chembl_active,,
CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Br,CHEMBL312454,6.21,IC50,nM,620.0,IC50,uM,0.62,1,chembl_active,,
Cc1cccc(C)c1-c1cc2cnc(N)nc2nc1NC(=O)NC(C)(C)C,CHEMBL57323,6.47,IC50,nM,340.0,IC50,uM,0.34,1,chembl_active,,
Cc1ccc(NC(=O)c2ccc(Cl)cc2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL21162,8.00,IC50,nM,10.0,IC50,uM,0.01,1,chembl_active,,
